group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,,2.2752380349824035,1.6779729627685396,1,1.0,5,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,,2.149710415524917,1.5801115779026196,2,1.0,4,0,0
STEEL-PIPE & TUBE,METALS,3,1,,1.7089156397386687,1.236467785512257,3,1.0,3,0,0
TELECOM-FIBER OPTICS,TELECOM,7,5,,1.4630998762430563,1.0448297130185675,4,1.0,7,0,0
ENERGY-OTHER/ALTERNATIVE,ENERGY,6,6,,1.246154849982385,0.8756992794024581,5,1.0,6,0,0
ELEC-SEMICONDUCTOR MFG,CHIPS,15,15,,1.1328490910643696,0.7873660621477773,6,1.0,15,0,0
ELEC-SEMICONDUCTOR FABLESS,CHIPS,14,13,,1.1195212516344613,0.7769756729289077,7,1.0,14,0,0
ELECTRONIC-CONTRACT MFG,ELECTRONICS,5,5,,1.0676409782088838,0.7365297899703043,8,1.0,5,0,0
STEEL-SPECIALTY ALLOYS,METALS,5,3,,1.0631443466862798,0.7330242141461503,9,1.0,5,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,11,,1.04332661356456,0.7175743010785999,10,1.0,14,0,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,9,,1.0075487871555662,0.6896818925791108,11,1.0,10,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,10,,0.9922641022751242,0.6777659458248921,12,1.0,10,0,0
COMPUTER-NETWORKING,COMPUTER,7,6,,0.9610709725905449,0.6534477688178868,13,1.0,7,0,0
INSURANCE-ACC & HEALTH,INSURANCE,7,5,,0.9550224306321546,0.6487323229660027,14,0.0,0,0,7
MEDICAL-MANAGED CARE,MEDICAL,6,5,,0.9550224306321546,0.6487323229660027,14,1.0,6,0,0
MINING-IRON/MANGANESE/MISC,MINING,5,5,,0.864896247896242,0.5784699130411297,16,1.0,5,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,6,,0.8133855524825028,0.5383121532558233,17,1.0,8,0,0
MEDIA-RADIO/TV,MEDIA,7,6,,0.7780619986644589,0.5107738958590885,18,0.0,0,7,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,,0.7697401501916704,0.5042861792935144,19,1.0,3,0,0
BUILDING-HEAVY CONSTRUCTION,BUILDING,7,7,,0.7629020205132276,0.4989551705233544,20,1.0,7,0,0
RETAIL-CONVENIENCE STORES,RETAIL,3,2,,0.7596169730750866,0.4963941461604603,21,1.0,3,0,0
REIT-HOTEL/RESORT,FINANCE,6,6,,0.7324802559227533,0.47523835006778054,22,0.0,0,6,0
TELECOM-CABLE/SATELLITE EQUIP,TELECOM,5,4,,0.7247073464815063,0.46917858660181716,23,1.0,5,0,0
MEDICAL-SERVICES,MEDICAL,7,5,,0.702914262761278,0.4521886893777822,24,1.0,7,0,0
COMMERCIAL SVCS-STAFFING,BUSINESS_PRODUCTS,6,3,,0.6705593872500146,0.4269648148362194,25,1.0,6,0,0
ELECTRONIC-COMPONENTS/CONNECTORS,ELECTRONICS,8,7,,0.6694478223403665,0.4260982383656653,26,1.0,8,0,0
INTERNET-NETWORK SOLUTIONS,INTERNET,10,10,,0.6491062081116785,0.4102399073670288,27,1.0,10,0,0
STEEL-PRODUCERS,METALS,8,7,,0.6468098496028282,0.40844966530877924,28,1.0,8,0,0
TRANSPORTATION-TRUCKING,TRANSPORTATION,8,8,,0.6337212536438055,0.3982457904003234,29,1.0,8,0,0
ELECTRONIC-PARTS DISTRIBUTORS,ELECTRONICS,5,5,,0.6055209312803524,0.3762608072382111,30,1.0,5,0,0
COMMERCIAL SVCS-LEASING,BUSINESS_PRODUCTS,4,2,,0.6017996044723664,0.3733596592952954,31,1.0,4,0,0
MEDICAL-OUTPATIENT/HOME CARE,MEDICAL,5,4,,0.5747851938558453,0.35229921342931836,32,1.0,5,0,0
TELECOM-INFRASTRUCTURE,TELECOM,9,9,,0.5642983602823402,0.3441236735696685,33,1.0,9,0,0
METAL PROC & FABRICATION,METALS,8,7,,0.5259722559808286,0.3142446265545862,34,1.0,8,0,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,10,,0.5223286817440019,0.31140409454881185,35,1.0,11,0,0
FINANCE-CONSUMER LOANS,FINANCE,7,4,,0.5188824703574537,0.308717426704031,36,0.0,0,0,7
MACHINERY-ELECTRIC UTILITY,MACHINERY,4,4,,0.5160221170210184,0.30648749404124986,37,1.0,4,0,0
TRANSPORTATION-SVCS/LOGISTICS,TRANSPORTATION,11,11,,0.5154693256773258,0.30605653767746754,38,1.0,11,0,0
RETAIL-INTERNET,RETAIL,9,7,,0.5132041189200454,0.3042905815378294,39,1.0,9,0,0
