ticker,sector,group,rs_rating,last_close,six_month_change,history,shariah_status,shariah_reason,debt_to_market_cap
BA,AEROSPACE,AEROSPACE-DEFENSE,33,212.25,-0.07612955982837943,227.31;231.11;217.76;204.76;213.47;205.99;195.12;196.42;194.36;189.21;207.32;212.30;217.80;217.63;223.77;218.88;225.08;231.28;232.44;230.72;229.03;221.30;229.93;237.36;236.87;229.21;220.61;222.20;219.02;224.30;231.15;217.70;217.42;215.92;209.00;219.05;227.49;222.72;216.71;218.12;214.69;218.58;234.54;224.95;222.28;217.11;214.34;209.48;208.65;209.52;221.56;220.90;233.49;240.19;234.42;233.24;230.33;225.95;222.20;214.20;211.08;209.89;207.78;208.87;212.25,QUESTIONABLE,"Boeing — commercial + defense, debt ratio borderline",
LMT,AEROSPACE,AEROSPACE-DEFENSE,42,525.280029296875,-0.2138481020729165,656.10;663.30;643.01;644.60;637.06;634.18;619.52;602.48;619.42;591.02;609.85;629.86;620.57;605.98;603.87;599.83;573.95;548.43;506.97;505.83;511.44;511.62;507.77;500.12;514.43;513.85;521.65;516.00;526.52;524.44;523.76;510.27;515.86;516.87;521.79;537.01;532.66;507.81;500.57;501.92;498.98;518.61;534.69;524.71;520.00;511.82;510.36;506.41;511.20;579.02;577.74;570.58;582.69;574.05;584.34;594.10;594.33;590.09;585.53;560.11;553.10;562.41;557.78;531.55;525.28,QUESTIONABLE,"Defense — scholar-disputed, financials typically pass AAOIFI",
RTX,AEROSPACE,AEROSPACE-DEFENSE,61,200.7899932861328,-0.04649241235668378,207.27;208.20;205.46;201.53;204.53;203.04;196.68;192.56;191.41;185.76;193.27;196.93;201.96;200.06;201.30;194.39;194.33;179.56;172.96;174.37;174.76;171.61;175.42;174.78;177.56;174.37;174.64;173.55;176.42;176.01;179.07;173.68;178.82;178.07;176.82;182.92;186.15;184.99;185.77;185.97;186.71;191.15;200.70;194.26;195.28;192.75;193.72;193.80;194.23;212.09;217.86;213.67;215.93;221.57;222.29;223.12;219.75;221.64;220.35;209.91;210.28;212.08;207.73;200.78;200.79,QUESTIONABLE,Defense — scholar-disputed,
NOC,AEROSPACE,AEROSPACE-DEFENSE,15,514.97998046875,-0.32345653432795174,747.14;749.41;728.45;729.75;729.42;718.40;700.67;676.10;685.84;665.62;690.80;689.60;681.36;667.74;674.08;666.79;651.14;584.38;570.00;572.68;574.33;561.96;554.63;544.64;553.34;543.77;545.11;547.26;550.64;546.44;558.67;534.16;542.70;538.36;539.69;547.84;548.71;519.14;510.90;497.07;493.77;517.60;545.27;542.64;537.19;526.28;516.30;521.59;522.90;539.79;546.73;532.43;545.99;554.95;568.99;573.08;572.14;567.62;580.20;548.54;540.06;542.66;539.70;523.82;514.98,QUESTIONABLE,Defense — scholar-disputed,
GD,AEROSPACE,AEROSPACE-DEFENSE,47,359.3900146484375,-0.005843464706891455,362.83;360.22;352.40;352.04;351.18;350.19;342.67;343.12;352.09;337.73;347.38;348.23;346.88;333.68;338.39;333.45;330.68;319.33;311.84;312.31;342.79;347.55;345.75;345.01;344.94;339.13;341.61;338.26;341.39;341.19;345.30;336.13;340.00;339.37;339.58;358.64;362.51;348.48;348.80;343.19;346.54;361.27;376.88;374.31;375.06;369.50;368.82;370.60;373.16;386.75;393.19;382.20;382.43;384.08;392.05;391.89;392.96;391.14;392.34;384.29;376.58;380.06;371.35;364.07;359.39,QUESTIONABLE,Defense — scholar-disputed,
TXT,AEROSPACE,AEROSPACE-DEFENSE,15,79.06999969482422,-0.21430119605347164,99.27;94.92;92.47;91.50;91.84;89.08;88.75;90.56;88.87;85.93;88.89;88.52;91.35;91.37;92.63;90.25;91.48;89.44;87.94;88.12;95.94;90.92;93.07;90.99;90.80;91.52;90.57;89.50;91.81;92.30;91.74;91.35;91.07;91.41;91.31;92.82;93.74;89.47;86.40;89.06;90.15;91.93;93.84;89.83;90.91;89.50;90.64;90.79;91.71;95.53;89.96;87.09;86.39;88.46;89.43;88.21;88.04;87.65;86.29;82.95;81.80;82.35;80.56;79.24;79.07,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE,
TDG,AEROSPACE,AEROSPACE-DEFENSE,17,1162.050048828125,-0.1171576738587985,1315.12;1294.53;1268.31;1225.95;1247.82;1199.94;1177.39;1162.78;1151.94;1132.88;1173.27;1189.64;1219.88;1207.18;1296.58;1228.23;1274.62;1187.75;1148.18;1154.06;1159.98;1149.72;1233.37;1215.08;1191.19;1178.82;1182.35;1198.09;1213.51;1240.91;1258.32;1246.98;1228.09;1206.28;1212.36;1256.05;1301.20;1328.31;1297.68;1332.56;1323.44;1309.18;1346.12;1296.43;1291.35;1215.34;1231.11;1204.73;1194.70;1236.71;1307.97;1249.91;1285.56;1254.71;1225.25;1242.04;1246.31;1237.82;1222.91;1200.35;1192.60;1186.48;1171.74;1153.75;1162.05,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE,
HEI,AEROSPACE,AEROSPACE-DEFENSE,34,325.4800109863281,-0.011089365741650314,319.93;303.62;306.29;289.89;291.36;288.22;275.06;280.59;272.54;264.92;275.38;276.67;293.23;289.06;299.88;284.56;292.08;268.47;263.94;263.78;269.82;269.42;296.27;292.41;287.57;297.04;293.46;301.38;300.93;309.29;348.05;332.02;332.85;323.38;320.76;331.49;335.41;336.98;334.05;342.33;350.31;359.70;365.31;347.78;350.92;345.61;344.03;340.44;335.24;349.61;363.44;354.17;360.44;366.80;367.58;366.92;371.56;371.28;363.42;355.04;351.05;337.01;331.15;322.90;325.48,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE,
LHX,AEROSPACE,AEROSPACE-DEFENSE,10,256.45001220703125,-0.31730623622565135,365.99;365.13;360.26;356.44;364.73;366.89;351.43;350.00;347.93;338.56;352.48;357.28;360.51;352.16;354.13;351.98;347.16;330.32;316.23;323.57;319.26;307.37;300.98;298.43;308.22;306.38;309.90;307.90;310.72;307.80;313.91;306.88;308.53;302.10;303.00;307.79;310.45;294.82;293.77;288.52;289.38;292.23;301.27;293.44;290.77;290.01;284.43;280.55;285.16;300.21;305.20;271.90;277.86;286.12;286.67;286.02;288.46;278.38;277.11;266.73;262.17;261.98;266.25;261.31;256.45,QUESTIONABLE,L3Harris — defense,
HII,AEROSPACE,AEROSPACE-DEFENSE,20,285.92999267578125,-0.36415017460269206,433.13;425.28;413.78;410.86;412.87;424.17;404.34;398.49;381.36;365.79;389.81;404.02;407.68;390.89;394.52;392.64;388.69;363.61;356.08;358.18;361.04;360.13;316.69;313.46;330.58;333.94;326.41;319.05;317.77;314.73;306.74;292.30;293.16;290.90;287.79;296.30;297.12;284.11;282.16;277.79;276.10;277.68;292.73;288.13;284.76;278.70;269.79;268.79;275.99;286.26;298.51;318.42;324.44;316.23;322.97;326.33;324.25;316.86;310.31;296.82;289.80;295.91;291.20;288.72;285.93,QUESTIONABLE,Huntington Ingalls — naval defense,
KTOS,AEROSPACE,AEROSPACE-DEFENSE,4,47.81999969482422,-0.4728836083402602,89.13;87.00;88.96;89.46;89.53;93.04;84.62;77.49;75.86;65.28;67.70;74.09;74.46;70.34;73.66;74.41;69.83;68.61;61.26;61.66;63.05;61.93;61.52;57.89;57.33;54.85;54.22;55.82;56.18;57.30;64.13;63.27;63.40;57.73;54.82;57.75;56.34;54.21;50.80;46.32;46.95;53.04;53.54;50.38;48.19;50.36;46.96;45.94;47.89;47.35;48.64;46.17;49.21;55.34;60.77;63.73;62.79;63.29;60.56;57.17;52.64;53.69;50.98;47.78;47.82,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE,
MRCY,AEROSPACE,AEROSPACE-DEFENSE,26,82.41999816894531,-0.09438527376833816,89.18;86.42;86.87;81.44;80.71;78.97;77.26;74.49;76.16;69.86;74.75;75.76;80.81;79.60;84.09;84.91;84.12;82.61;77.99;76.53;78.91;78.53;91.66;90.34;92.32;94.55;93.39;94.81;98.55;97.11;111.70;112.87;117.82;110.94;106.81;120.30;112.44;113.91;110.87;105.57;110.22;123.05;123.07;112.41;107.98;100.32;96.00;94.73;98.92;103.27;99.38;95.97;105.79;107.44;108.64;109.15;109.79;113.36;101.25;91.36;87.74;90.47;87.33;82.57;82.42,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE,
AVAV,AEROSPACE,AEROSPACE-DEFENSE,3,144.64999389648438,-0.3056356143874437,226.48;229.80;221.57;211.88;211.88;215.85;197.72;196.18;195.91;176.97;183.50;189.26;186.94;179.72;194.52;201.99;197.23;210.10;196.28;192.34;195.02;180.26;174.37;168.29;168.86;165.27;161.52;163.87;174.23;181.28;207.24;204.35;204.40;184.68;172.93;170.58;166.71;169.61;149.08;136.68;139.00;172.44;176.84;157.78;144.58;143.47;149.29;142.60;150.35;149.51;156.35;146.57;159.18;168.06;186.73;196.02;189.43;181.13;172.74;160.22;147.42;152.28;148.35;145.39;144.65,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE,
HWM,AEROSPACE,AEROSPACE-DEFENSE EQUIPMENT,64,259.2699890136719,-0.021124763699658877,259.85;249.90;253.68;243.59;240.51;241.71;231.00;239.29;230.30;222.78;238.82;236.35;249.77;252.44;257.79;247.37;255.38;240.66;242.22;240.21;242.82;239.48;256.19;270.43;269.63;272.24;256.87;261.08;256.43;257.90;258.13;250.60;249.21;246.43;249.37;264.54;277.29;277.53;275.00;273.01;268.44;267.28;277.78;271.45;270.72;276.65;271.06;271.85;280.56;289.12;285.90;277.15;286.20;291.28;281.88;281.34;282.82;289.12;283.48;271.68;264.04;267.65;244.95;252.96;259.27,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE EQUIPMENT,
WWD,AEROSPACE,AEROSPACE-DEFENSE EQUIPMENT,54,346.2200012207031,-0.1384153817820737,384.30;373.23;385.19;361.13;366.93;371.95;352.72;368.33;355.02;340.91;375.20;378.20;394.26;387.79;402.53;374.24;393.10;365.83;364.30;363.32;362.34;356.38;381.74;369.27;366.79;364.76;348.79;355.74;351.05;357.89;349.72;344.39;360.04;359.47;366.94;386.51;421.17;429.70;427.87;436.05;422.94;420.56;423.10;399.22;406.04;397.54;393.77;390.40;404.23;418.63;410.18;355.96;363.25;372.95;362.57;356.26;358.22;370.07;359.63;343.26;339.66;346.34;339.82;335.52;346.22,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE EQUIPMENT,
CW,AEROSPACE,AEROSPACE-DEFENSE EQUIPMENT,17,566.75,-0.219333846623876,712.10;681.22;703.13;679.82;683.37;690.47;670.73;700.33;665.58;631.84;696.75;698.88;728.71;725.46;742.36;719.74;729.76;710.69;717.28;705.83;719.95;718.57;742.64;728.95;735.09;750.58;710.10;726.40;730.99;742.34;747.35;720.87;743.17;721.08;718.77;757.74;764.61;771.93;765.13;767.73;737.39;757.76;792.77;760.57;754.76;752.17;715.64;709.02;732.48;750.19;728.80;716.66;747.67;748.41;691.52;705.96;688.83;696.07;673.34;634.99;609.71;605.49;582.53;561.53;566.75,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE EQUIPMENT,
MOG-A,AEROSPACE,AEROSPACE-DEFENSE EQUIPMENT,84,371.67999267578125,0.07828102003147586,340.43;316.27;314.07;305.87;303.64;307.79;290.96;301.76;288.85;283.35;301.15;298.43;312.73;311.51;313.46;313.44;317.57;296.96;312.39;305.79;300.81;306.49;318.03;313.56;307.69;313.42;305.98;316.36;318.72;342.94;359.72;373.07;370.96;372.00;381.86;394.82;401.03;408.86;401.96;415.97;425.55;420.70;424.16;405.63;406.82;391.23;382.21;395.68;402.63;409.84;414.27;418.96;395.60;408.28;402.83;416.69;426.86;445.38;410.94;389.14;376.73;383.23;371.50;365.16;371.68,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE EQUIPMENT,
AIR,AEROSPACE,AEROSPACE-DEFENSE EQUIPMENT,,,,,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE EQUIPMENT,
TGI,AEROSPACE,AEROSPACE-DEFENSE EQUIPMENT,,,,,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE EQUIPMENT,
ATRO,AEROSPACE,AEROSPACE-DEFENSE EQUIPMENT,93,76.26000213623047,0.17460094559858574,63.28;60.65;58.38;54.15;54.83;55.27;50.88;54.16;52.10;49.74;56.44;57.04;58.14;57.85;60.70;59.74;62.00;58.00;58.44;57.12;56.98;57.54;62.40;59.92;62.46;66.01;64.13;67.83;64.53;67.85;69.43;68.32;69.70;67.29;65.71;76.62;75.50;80.56;82.70;87.15;85.66;76.06;71.79;71.17;72.50;72.45;66.04;67.25;70.89;69.85;68.33;68.41;71.12;77.14;77.75;74.91;92.61;93.05;81.67;78.00;74.50;77.99;73.67;73.46;76.26,QUESTIONABLE,Group classification: AEROSPACE-DEFENSE EQUIPMENT,
ADM,AGRICULTURE,AGRICULTURAL OPERATIONS,72,84.61000061035156,0.23126547755383453,66.36;66.58;68.50;71.57;69.84;69.96;65.32;70.52;71.40;70.83;71.44;72.44;70.80;68.84;67.96;67.80;67.49;68.54;68.34;71.87;73.58;75.29;77.02;76.66;79.70;80.37;79.87;77.06;77.03;79.05;79.28;81.94;82.84;79.71;80.77;79.73;77.53;74.63;75.36;76.06;76.39;76.13;77.44;79.78;79.90;81.76;82.48;85.13;86.77;85.38;82.66;80.10;77.57;77.09;76.11;79.95;79.64;80.78;80.76;80.30;79.16;79.10;81.29;85.38;84.61,HALAL,"Business activity permissible — debt ratio not verified, cross-check Musaffa/Zoya",
BG,AGRICULTURE,AGRICULTURAL OPERATIONS,52,118.70999908447266,-0.003591718663668253,113.61;115.25;118.29;124.29;122.11;122.52;116.71;122.58;124.23;124.74;126.75;126.90;125.60;122.41;120.84;121.51;120.97;124.23;123.38;124.82;125.52;126.06;124.51;123.42;124.67;121.66;123.12;118.49;119.95;120.42;122.53;128.32;128.61;124.71;127.41;126.37;118.67;111.87;110.17;110.85;108.42;104.23;108.10;114.51;113.60;115.90;115.10;119.74;123.10;120.77;116.63;104.41;104.74;105.95;107.70;110.90;112.02;114.19;114.00;113.11;111.71;111.57;116.21;122.86;118.71,HALAL,"Business activity permissible — debt ratio not verified, cross-check Musaffa/Zoya",
